©️	しーまーく
🇧🇮	ふらぐ,ふらっぐ,こっき
🇧🇯	ふらぐ,ふらっぐ,こっき
🇧🇱	ふらぐ,ふらっぐ,こっき
🇧🇲	ふらぐ,ふらっぐ,こっき
🇧🇳	ふらぐ,ふらっぐ,こっき
🇧🇴	ふらぐ,ふらっぐ,こっき
🇧🇶	ふらぐ,ふらっぐ,こっき
🇧🇷	ふらぐ,ふらっぐ,こっき
🇧🇸	ふらぐ,ふらっぐ,こっき
🇧🇹	ふらぐ,ふらっぐ,こっき
🇧🇻	ふらぐ,ふらっぐ,こっき
🇧🇼	ふらぐ,ふらっぐ,こっき
🇧🇾	ふらぐ,ふらっぐ,こっき
🇧🇿	ふらぐ,ふらっぐ,こっき
🇨🇦	ふらぐ,ふらっぐ,こっき
🇨🇨	ふらぐ,ふらっぐ,こっき
🇨🇩	ふらぐ,ふらっぐ,こっき
🇨🇫	ふらぐ,ふらっぐ,こっき
🇨🇬	ふらぐ,ふらっぐ,こっき
🇨🇭	ふらぐ,ふらっぐ,こっき
🇨🇮	ふらぐ,ふらっぐ,こっき
🇨🇰	ふらぐ,ふらっぐ,こっき
🇨🇱	ふらぐ,ふらっぐ,こっき
🇨🇲	ふらぐ,ふらっぐ,こっき
🇨🇳	ふらぐ,ふらっぐ
🇨🇴	ふらぐ,ふらっぐ,こっき
🇨🇵	ふらぐ,ふらっぐ,こっき
🇨🇷	ふらぐ,ふらっぐ,こっき
🇨🇺	ふらぐ,ふらっぐ,こっき
🇨🇻	ふらぐ,ふらっぐ,こっき
🇨🇼	ふらぐ,ふらっぐ,きゅらそーとう,こっき
🇨🇽	ふらぐ,ふらっぐ,こっき
🇨🇾	ふらぐ,ふらっぐ,こっき
🇨🇿	ふらぐ,ふらっぐ,こっき
🇩🇪	ふらぐ,ふらっぐ
🇩🇬	ふらぐ,ふらっぐ,こっき
🇩🇯	ふらぐ,ふらっぐ,こっき
🇩🇰	ふらぐ,ふらっぐ,こっき
🇩🇲	ふらぐ,ふらっぐ,こっき
🇩🇴	ふらぐ,ふらっぐ,こっき
🇩🇿	ふらぐ,ふらっぐ,こっき
🇪🇦	ふらぐ,ふらっぐ,せうたとめりりゃ,こっき
🇪🇨	ふらぐ,ふらっぐ,こっき
🇪🇪	ふらぐ,ふらっぐ,こっき
🇪🇬	ふらぐ,ふらっぐ,こっき
🇪🇭	ふらぐ,ふらっぐ,こっき
🇪🇷	ふらぐ,ふらっぐ,こっき
🇪🇸	ふらぐ,ふらっぐ
🇪🇹	ふらぐ,ふらっぐ,こっき
🇪🇺	ふらぐ,ふらっぐ,こっき
🇫🇮	ふらぐ,ふらっぐ,こっき
🇫🇯	ふらぐ,ふらっぐ,こっき
🇫🇰	ふらぐ,ふらっぐ,こっき
🇫🇲	ふらぐ,ふらっぐ,こっき,みくろねしあ
🇫🇴	ふらぐ,ふらっぐ,こっき
🇫🇷	ふらぐ,ふらっぐ
🇬🇦	ふらぐ,ふらっぐ,こっき
🇬🇧	ふらぐ,ふらっぐ
🇬🇩	ふらぐ,ふらっぐ,こっき
🇬🇪	ふらぐ,ふらっぐ,こっき
🇬🇫	ふらぐ,ふらっぐ,こっき,ふらんすりょうぎあな
🇬🇬	ふらぐ,ふらっぐ,こっき
🇬🇭	ふらぐ,ふらっぐ,こっき
🇬🇮	ふらぐ,ふらっぐ,こっき
🇬🇱	ふらぐ,ふらっぐ,こっき
🇬🇲	ふらぐ,ふらっぐ,こっき
🇬🇳	ふらぐ,ふらっぐ,こっき
🇬🇵	ふらぐ,ふらっぐ,こっき
🇬🇶	ふらぐ,ふらっぐ,こっき
🇬🇷	ふらぐ,ふらっぐ,こっき
🇬🇸	ふらぐ,ふらっぐ,こっき
🇬🇹	ふらぐ,ふらっぐ,こっき
🇬🇺	ふらぐ,ふらっぐ,こっき
🇬🇼	ふらぐ,ふらっぐ,こっき
🇬🇾	ふらぐ,ふらっぐ,こっき
🇭🇰	ふらぐ,ふらっぐ,こっき
🇭🇲	はーどとうとまくどなるどしょとう,ふらぐ,ふらっぐ,こっき
🇭🇳	ふらぐ,ふらっぐ,こっき
🇭🇷	ふらぐ,ふらっぐ,こっき
🇭🇹	ふらぐ,ふらっぐ,こっき
🇭🇺	ふらぐ,ふらっぐ,こっき
🇮🇨	ふらぐ,ふらっぐ,こっき
🇮🇩	ふらぐ,ふらっぐ,こっき
🇮🇪	ふらぐ,ふらっぐ,こっき
🇮🇱	ふらぐ,ふらっぐ,こっき
🇮🇲	ふらぐ,ふらっぐ,こっき
🇮🇳	ふらぐ,ふらっぐ,こっき
🇮🇴	ふらぐ,ふらっぐ,こっき,いぎりすりょういんどようちいき
🇮🇶	ふらぐ,ふらっぐ,こっき
🇮🇷	ふらぐ,ふらっぐ,こっき
🇮🇸	ふらぐ,ふらっぐ,こっき
🇮🇹	ふらぐ,ふらっぐ
🇯🇪	ふらぐ,ふらっぐ,こっき
🇯🇲	ふらぐ,ふらっぐ,こっき
🇯🇴	ふらぐ,ふらっぐ,こっき
🇯🇵	ふらぐ,ふらっぐ
🇰🇪	ふらぐ,ふらっぐ,こっき
🇰🇬	ふらぐ,ふらっぐ,こっき
🇰🇭	ころんびあ,ふらぐ,ふらっぐ,こっき
🇰🇮	ふらぐ,ふらっぐ,こっき
🇰🇲	ふらぐ,ふらっぐ,こっき
🇰🇳	ふらぐ,ふらっぐ,こっき
🇰🇵	ふらぐ,ふらっぐ,こっき
🇰🇷	ふらぐ,ふらっぐ
🇰🇼	ふらぐ,ふらっぐ,こっき
🇰🇾	ふらぐ,ふらっぐ,こっき
🇰🇿	ふらぐ,ふらっぐ,こっき
🇱🇦	ふらぐ,ふらっぐ,こっき
🇱🇧	ふらぐ,ふらっぐ,こっき
🇱🇨	ふらぐ,ふらっぐ,こっき
🇱🇮	ふらぐ,ふらっぐ,こっき
🇱🇰	ふらぐ,ふらっぐ,こっき
🇱🇷	ふらぐ,ふらっぐ,こっき
🇱🇸	ふらぐ,ふらっぐ,こっき
🇱🇹	ふらぐ,ふらっぐ,こっき
🇱🇺	ふらぐ,ふらっぐ,るくせんぶるぐ,こっき
🇱🇻	ふらぐ,ふらっぐ,こっき
🇱🇾	ふらぐ,ふらっぐ,こっき
🇲🇦	ふらぐ,ふらっぐ,こっき
🇲🇨	ふらぐ,ふらっぐ,こっき
🇲🇩	ふらぐ,ふらっぐ,こっき
🇲🇪	ふらぐ,ふらっぐ,こっき
🇲🇫	ふらぐ,ふらっぐ,こっき
🇲🇬	ふらぐ,ふらっぐ,こっき
🇲🇭	ふらぐ,ふらっぐ,こっき
🇲🇰	まけどにあ,ふらぐ,ふらっぐ,こっき
🇲🇱	ふらぐ,ふらっぐ,こっき
🇲🇲	ふらぐ,ふらっぐ,こっき
🇲🇳	ふらぐ,ふらっぐ,こっき
🇲🇴	ふらぐ,ふらっぐ,こっき
🇲🇵	ふらぐ,ふらっぐ,こっき
🇲🇶	ふらぐ,ふらっぐ,こっき
🇲🇷	ふらぐ,ふらっぐ,こっき
🇲🇸	ふらぐ,ふらっぐ,こっき
🇲🇹	ふらぐ,ふらっぐ,こっき
🇲🇺	ふらぐ,ふらっぐ,こっき
🇲🇻	ふらぐ,ふらっぐ,こっき
🇲🇼	ふらぐ,ふらっぐ,こっき,まらうぃ
🇲🇽	ふらぐ,ふらっぐ,こっき
🇲🇾	ふらぐ,ふらっぐ,こっき
🇲🇿	ふらぐ,ふらっぐ,こっき
🇳🇦	ふらぐ,ふらっぐ,こっき
🇳🇨	ふらぐ,ふらっぐ,こっき
🇳🇪	ふらぐ,ふらっぐ,こっき
🇳🇫	ふらぐ,ふらっぐ,こっき
🇳🇬	ふらぐ,ふらっぐ,こっき
🇳🇮	ふらぐ,ふらっぐ,こっき
🇳🇱	ふらぐ,ふらっぐ,こっき
🇳🇴	ふらぐ,ふらっぐ,こっき
🇳🇵	ふらぐ,ふらっぐ,こっき
🇳🇷	ふらぐ,ふらっぐ,こっき
🇳🇺	ふらぐ,ふらっぐ,こっき
🇳🇿	ふらぐ,ふらっぐ,こっき
🇴🇲	ふらぐ,ふらっぐ,こっき
🇵🇦	ふらぐ,ふらっぐ,こっき
🇵🇪	ふらぐ,ふらっぐ,こっき
🇵🇫	ふらぐ,ふらっぐ,こっき,ふらんすりょうぽりねしあ
🇵🇬	ふらぐ,ふらっぐ,こっき
🇵🇭	ふらぐ,ふらっぐ,こっき
🇵🇰	ふらぐ,ふらっぐ,こっき
🇵🇱	ふらぐ,ふらっぐ,こっき
🇵🇲	ふらぐ,ふらっぐ,こっき
🇵🇳	ふらぐ,ふらっぐ,こっき
🇵🇷	ふらぐ,ふらっぐ,こっき
🇵🇸	ふらぐ,ふらっぐ,こっき
🇵🇹	ふらぐ,ふらっぐ,こっき
🇵🇼	ふらぐ,ふらっぐ,こっき
🇵🇾	ふらぐ,ふらっぐ,こっき
🇶🇦	ふらぐ,ふらっぐ,こっき
🇷🇪	ふらぐ,ふらっぐ,こっき
🇷🇴	ふらぐ,ふらっぐ,こっき
🇷🇸	ふらぐ,ふらっぐ,こっき
🇷🇺	ふらぐ,ふらっぐ
🇷🇼	ふらぐ,ふらっぐ,こっき
🇸🇦	ふらぐ,ふらっぐ,こっき
🇸🇧	ふらぐ,ふらっぐ,こっき
🇸🇨	ふらぐ,ふらっぐ,こっき
🇸🇩	ふらぐ,ふらっぐ,こっき
🇸🇪	ふらぐ,ふらっぐ,こっき
🇸🇬	ふらぐ,ふらっぐ,こっき
🇸🇭	ふらぐ,ふらっぐ,こっき
🇸🇮	ふらぐ,ふらっぐ,こっき
🇸🇯	すゔぁーるばるしょとうおよびやんまいえんとう,ふらぐ,ふらっぐ,こっき
🇸🇰	ふらぐ,ふらっぐ,こっき
🇸🇱	ふらぐ,ふらっぐ,こっき
🇸🇲	ふらぐ,ふらっぐ,こっき
🇸🇳	ふらぐ,ふらっぐ,こっき
🇸🇴	ふらぐ,ふらっぐ,こっき
🇸🇷	ふらぐ,ふらっぐ,こっき
🇸🇸	ふらぐ,ふらっぐ,こっき
🇸🇹	ふらぐ,ふらっぐ,こっき
🇸🇻	ふらぐ,ふらっぐ,こっき
🇸🇽	ふらぐ,ふらっぐ,こっき
🇸🇾	ふらぐ,ふらっぐ,こっき
🇸🇿	すわじらんど,ふらぐ,ふらっぐ,こっき
🇹🇦	ふらぐ,ふらっぐ,こっき
🇹🇨	ふらぐ,ふらっぐ,こっき
🇹🇩	ふらぐ,ふらっぐ,こっき
🇹🇫	ふらぐ,ふらっぐ,こっき
🇹🇬	ふらぐ,ふらっぐ,こっき
🇹🇭	ふらぐ,ふらっぐ,こっき
🇹🇯	ふらぐ,ふらっぐ,こっき
🇹🇰	ふらぐ,ふらっぐ,こっき
🇹🇱	ふらぐ,ふらっぐ,こっき
🇹🇲	ふらぐ,ふらっぐ,こっき
🇹🇳	ふらぐ,ふらっぐ,こっき
🇹🇴	ふらぐ,ふらっぐ,こっき
🇹🇷	ふらぐ,ふらっぐ,こっき
🇹🇹	ふらぐ,ふらっぐ,こっき
🇹🇻	ふらぐ,ふらっぐ,こっき
🇹🇼	ふらぐ,ふらっぐ,こっき
🇹🇿	ふらぐ,ふらっぐ,こっき
🇺🇦	ふらぐ,ふらっぐ,こっき
🇺🇬	ふらぐ,ふらっぐ,こっき
🇺🇲	ふらぐ,ふらっぐ,こっき
🇺🇳	ふらぐ,ふらっぐ,こっき
🇺🇸	ふらぐ,ふらっぐ
🇺🇾	ふらぐ,ふらっぐ,こっき
🇺🇿	ふらぐ,ふらっぐ,こっき
🇻🇦	ふらぐ,ふらっぐ,こっき
🇻🇨	ふらぐ,ふらっぐ,こっき
🇻🇪	ふらぐ,ふらっぐ,こっき
🇻🇬	ふらぐ,ふらっぐ,いぎりすりょうゔぁーじんしょとう,こっき
🇻🇮	あめりかりょうゔぁーじんしょとう,ふらっぐ,こっき,ふらぐ
🇻🇳	ふらぐ,ふらっぐ,こっき
🇻🇺	ふらぐ,ふらっぐ,こっき
🇼🇫	ふらぐ,ふらっぐ,こっき
🇼🇸	ふらぐ,ふらっぐ,こっき
🇽🇰	ふらぐ,ふらっぐ,こっき
🇾🇪	ふらぐ,ふらっぐ,こっき
🇾🇹	ふらぐ,ふらっぐ,こっき
🇿🇦	ふらぐ,ふらっぐ,こっき
🇿🇲	ふらぐ,ふらっぐ,こっき
🇿🇼	ふらぐ,ふらっぐ,こっき
🈳	そらまーく,そら
🈸	もうしこみまーく
🌒	はつかづき
🌔	とおかんやのつき,じゅうさんやつき
🌖	ねまちのつき
🌦️	あめのちはれ
🌩️	いなづま
🍗	にわとりももにく
🎋	にっぽん
🎍	にっぽん
🎎	にっぽん,おだいりよう
🏃‍♀️	じょせい
🏃‍♂️	だんせい
🏄‍♀️	おんな,じょせい
🏄‍♂️	おとこ,だんせい
🏊‍♀️	じょせい
🏊‍♂️	だんせい
🏋️‍♀️	おんな,じょせい
🏋️‍♂️	おとこ,だんせい
🏌️‍♀️	おんな,じょせい
🏌️‍♂️	おとこ,だんせい
🏧	えーてぃーえむ
🏯	にっぽん
🏳️	しろはた,はっき
🏴	くろはた
🏴‍☠️	ほうもつ
🏹	いて
🐱	ねこのかお
🐽	ぶたはな
👇	したやじるし
👧	おんな
👨‍⚕️	おとこ,だんせい
👨‍⚖️	おとこ,だんせい
👨‍✈️	おとこ,だんせい
👨‍🌾	おとこ,だんせい
👨‍🍳	おとこ,だんせい
👨‍🎓	おとこ,だんせい
👨‍🎤	おとこ,だんせい
👨‍🎨	おとこ,だんせい
👨‍🏫	おとこ,だんせい
👨‍🏭	おとこ,だんせい
👨‍💻	だんせい
👨‍💼	だんせい
👨‍🔧	おとこ,だんせい
👨‍🔬	おとこ,だんせい
👨‍🚀	おとこ,だんせい
👨‍🚒	おとこ,だんせい
👨‍🦯	だんせい
👨‍🦼	だんせい
👨‍🦽	だんせい
👩‍⚕️	おんな,じょせい
👩‍⚖️	おんな,じょせい
👩‍✈️	おんな,じょせい
👩‍🌾	おんな,じょせい
👩‍🍳	おんな,じょせい
👩‍🎓	おんな,じょせい
👩‍🎤	おんな,じょせい
👩‍🎨	おんな,じょせい
👩‍🏫	おんな,じょせい
👩‍🏭	おんな,じょせい
👩‍💻	じょせい
👩‍💼	おーえる,じょせい
👩‍🔧	おんな,じょせい
👩‍🔬	おんな,じょせい
👩‍🚀	おんな,じょせい
👩‍🚒	おんな,じょせい
👩‍🦯	じょせい
👩‍🦼	じょせい
👩‍🦽	じょせい
👬	おとこ
👭	おんな
👮‍♀️	じょせい
👮‍♂️	だんせい
👯‍♀️	おんな,じょせい
👯‍♂️	おとこ,だんせい
👰	おんな,じょせい
👱‍♀️	おんな,じょせい
👱‍♂️	おとこ,だんせい
👲	おとこ,だんせい
👳‍♀️	おんな,じょせい
👳‍♂️	おとこ,だんせい
👴	だんせい
👵	じょせい
👷‍♀️	じょせい
👷‍♂️	だんせい
👸	おんな,じょせい
💁‍♀️	おんな,じょせい
💁‍♂️	おとこ,だんせい
💂‍♀️	じょせい
💂‍♂️	だんせい
💃	じょせい
💆‍♀️	おんな,じょせい
💆‍♂️	おとこ,だんせい
💇‍♀️	じょせい
💇‍♂️	だんせい
💹	しじょう
💻	ぴーしー
💿	でぃーぶいでぃ─
📀	でぃーぶいでぃ─
📈	ぐらふうわむき
📘	あおいほん
📺	てぃーゔぃー
📼	ぶいえっちえす
📿	ねんず
🔙	ばっくやじるし
🔚	えんどやじるし
🔛	おんやじるし
🔜	すーんやじるし
🔝	とっぷやじるし
🔠	えーびーしーでぃ
🔡	えーびーしーでぃー
🔤	えーびーしー
🕴️	おとこ,だんせい
🕵️‍♀️	おんな,じょせい
🕵️‍♂️	おとこ,だんせい
🕺	おとこ,だんせい
🖥️	ぴーしー
🖱️	ぴーしー
🖲️	ぴーしー
🗾	にっぽん,にっぽんちず
😊	ほおをあからめる
😦	しかめっつら
😮‍💨	こきゅう,ひとあんしん,はぁ
😵‍💫	こまる,かお,こんらん,ぐるぐる
😶‍🌫️	こっそり,くも,くものなか
🙁	しかめっつら
🙅‍♀️	おんな,じょせい
🙅‍♂️	おとこ,だんせい
🙆‍♀️	じょせい
🙆‍♂️	だんせい
🙇‍♀️	おんな,じょせい
🙇‍♂️	おとこ,だんせい
🙋	てをあげるひと
🙋‍♀️	おんな,じょせい
🙋‍♂️	おとこ,だんせい
🙍	しかめっつらのひと
🙍‍♀️	おんな,じょせい,しかめっつらのおんな
🙍‍♂️	おとこ,しかめっつらのおとこ,だんせい
🙎‍♀️	おんな,じょせい
🙎‍♂️	おとこ,だんせい
🚙	えすゆーぶいしゃ
🚣‍♀️	じょせい
🚣‍♂️	だんせい
🚴	じてんしゃにのるひと
🚴‍♀️	じょせい
🚴‍♂️	だんせい
🚵‍♀️	おんな,じょせい
🚵‍♂️	おとこ,だんせい
🚶‍♀️	じょせい
🚶‍♂️	だんせい
🚹	だぶりゅーしー
🚺	だぶりゅーしー
🚻	だぶりゅーしー
🚾	だぶりゅーしー
🛀	ふろにはいるひと
🛜	ねっと,むせん,わいやれす
🤦‍♀️	おんな,じょせい
🤦‍♂️	おとこ,だんせい
🤫	だまれ
🤰	おんな,じょせい
🤱	おんな,じょせい
🤴	おとこ,だんせい
🤵	おとこ,だんせい
🤶	おんな,じょせい
🤷‍♀️	おんな,じょせい
🤷‍♂️	おとこ,だんせい
🤸‍♀️	おんな,じょせい
🤸‍♂️	おとこ,だんせい
🤹‍♀️	おんな,じょせい
🤹‍♂️	おとこ,だんせい
🤼‍♀️	おんな,じょせい
🤼‍♂️	おとこ,だんせい
🤽‍♀️	おんな,じょせい
🤽‍♂️	おとこ,だんせい
🤾‍♀️	おんな,じょせい
🤾‍♂️	おとこ,だんせい
🥑	あぼがど
🥮	ちゅうしゅうぶし
🥹	うれしなみだ,ありがとう,うれしい
🥾	とざんくつ
🦯	しろつえ
🦸‍♀️	じょせい
🦸‍♂️	だんせい
🦹	わる
🦹‍♀️	わる,じょせい
🦹‍♂️	わる,だんせい
🧍‍♀️	じょせい
🧍‍♂️	だんせい
🧎‍♀️	じょせい
🧎‍♂️	だんせい
🧏‍♀️	じょせい
🧏‍♂️	だんせい
🧔	ひげのはえたひと,ひと,あごひげのひと
🧔‍♀️	おんな,ひげのはえたじょせい,じょせい
🧔‍♂️	おとこ,ひげのはえただんせい,だんせい
🧕	おんな,じょせい
🧖‍♀️	おんな,じょせい
🧖‍♂️	おとこ,だんせい
🧗‍♀️	おんな,じょせい
🧗‍♂️	おとこ,だんせい
🧘‍♀️	おんな,じょせい
🧘‍♂️	おとこ,だんせい
🧙‍♀️	おんな,じょせい
🧙‍♂️	おとこ,だんせい
🧚‍♀️	おんな,じょせい
🧚‍♂️	おとこ,だんせい
🧛‍♀️	おんな,じょせい
🧛‍♂️	おとこ,だんせい
🧜‍♀️	おんな,じょせい
🧜‍♂️	おとこ,だんせい
🧝‍♀️	おんな,じょせい
🧝‍♂️	おとこ,だんせい
🧞‍♀️	おんな,じょせい
🧞‍♂️	おとこ,だんせい
🧟‍♀️	おんな,じょせい
🧟‍♂️	おとこ,だんせい
🧧	ほんぼあ
🧬	でぃーえぬえー
🩵	みずいろのはーと
🪪	かーど,あいでぃーかーど
🪫	じゅうでんぶそく,じゅうでんやばい,ばってりーぶそく
🪮	ぶらし,へあぴっく
🪷	ろーたす,はす
🪹	す,とりのす
🪺	たまご,す,とりのす
🪽	とりのはね,はね
🫃	ひと,おとこ,にんしんしたひと,にんしんしただんせい
🫄	ひと
🫅	ひと
🫎	へらじかのかお,しかのかお
🫗	そそぐ,こっぷ
🫘	びーんず
🫙	あきびん,からのびん
🫠	ようかい,とろとろ
🫡	いえっさー,わかった,しょうち
🫢	ひみつ,いわない,えっ
🫣	はずかしい,こわいものみたさ,きになる
🫤	ふまん,ふふく,がっかり
🫥	むむむ
🫦	くちびる,くちびるをかむ,くやしい
🫧	ばぶる
🫨	こわい,びくびく,ふるえるかお,ぶるぶる
🫰	ゆびはーと,だいすき,はーと
🫱	みぎ
🫲	ひだり
🫳	したがわ
🫴	うえがわ
🫵	m9,ぷぎゃー
🫶	はーと
🫷	て,おしているて
🫸	て,おしているて
